Stage	Stage_16
Eif3j	-0.000603
Calr4	-0.001676
Atp5d	0.000526
Tipin	-0.001310
Ccdc56	-0.000636
Snora70	-0.001644
Akr1a4	0.000502
Rnps1	-0.000179
Sepw1	0.000820
Rhbdl2	0.001459
Hax1	-0.001553
Ost4	-0.000115
Atp5f1	0.000165
Pgm2	0.001118
Zfp296	-0.002562
Eif4ebp1	-0.001881
Idh1	-0.001610
Nop56	-0.000468
Arl6ip5	-0.000226
Morf4l1	0.000072
Tuba4a	-0.002956
Gss	-0.001147
Nsf	-0.000478
Asl	0.000986
Gm5434	-0.000246
Laptm4b	0.000394
Chmp2a	0.000247
Eef1d	-0.000239
Wdr43	-0.000475
Tcn2	-0.001485
Dkkl1	0.002680
Ccdc12	0.000776
